<row Владелец="00000000-0000-0000-0000-000000000000" Гуид="61C6B6E2-1F7C-4ED8-B11E-DB2948741E5E" ИмяТаблицыХранения="_Reference6" ИмяТаблицы="Справочник.Банки" Метаданные="Справочник.Банки" Назначение="Основная" КоличествоСтрок="17419" Резерв="9200" Данные="5472" Индексы="2656" НеИспользуется="1072"/>
<row Владелец="00000000-0000-0000-0000-000000000000" Гуид="AA445B9D-BB17-4AEC-AC3E-9B3600E3164D" ИмяТаблицыХранения="_Reference19651" ИмяТаблицы="Справочник.СохраненныеНастройки" Метаданные="Справочник.СохраненныеНастройки" Назначение="Основная" КоличествоСтрок="157" Резерв="3408" Данные="3256" Индексы="64" НеИспользуется="88"/>
<row Владелец="00000000-0000-0000-0000-000000000000" Гуид="B8311040-6A04-401C-99F4-0EBB7E660EE9" ИмяТаблицыХранения="_Reference102" ИмяТаблицы="Справочник.ОбщероссийскийКлассификаторОсновныхФондов" Метаданные="Справочник.ОбщероссийскийКлассификаторОсновныхФондов" Назначение="Основная" КоличествоСтрок="11038" Резерв="5304" Данные="3240" Индексы="1664" НеИспользуется="400"/>
<row Владелец="00000000-0000-0000-0000-000000000000" Гуид="556E3C62-F6BF-4F81-A810-BF25546BB38F" ИмяТаблицыХранения="_InfoRg13032" ИмяТаблицы="РегистрСведений.АдресныйКлассификатор" Метаданные="РегистрСведений.АдресныйКлассификатор" Назначение="Основная" КоличествоСтрок="12187" Резерв="3400" Данные="704" Индексы="2096" НеИспользуется="600"/>
<row Владелец="00000000-0000-0000-0000-000000000000" Гуид="FFAAC527-F33E-48BC-B09D-43245A025CD5" ИмяТаблицыХранения="_InfoRg13231" ИмяТаблицы="РегистрСведений.ГрафикиРаботыПоВидамВремени" Метаданные="РегистрСведений.ГрафикиРаботыПоВидамВремени" Назначение="Основная" КоличествоСтрок="13148" Резерв="1624" Данные="608" Индексы="768" НеИспользуется="248"/>
<row Владелец="00000000-0000-0000-0000-000000000000" Гуид="B6FBAC7D-07AB-47C8-9E13-B930B36D3CF7" ИмяТаблицыХранения="_InfoRg14048" ИмяТаблицы="РегистрСведений.ПаспортныеДанныеФизЛиц" Метаданные="РегистрСведений.ПаспортныеДанныеФизЛиц" Назначение="Основная" КоличествоСтрок="747" Резерв="688" Данные="608" Индексы="48" НеИспользуется="32"/>
<row Владелец="00000000-0000-0000-0000-000000000000" Гуид="96A63CD2-3C22-420C-9449-6BE3CF9A026F" ИмяТаблицыХранения="_AccumRgT17220" ИмяТаблицы="" Метаданные="РегистрНакопления.ПартииТоваровНаСкладахНалоговыйУчет" Назначение="Итоги" КоличествоСтрок="20398" Резерв="712" Данные="608" Индексы="32" НеИспользуется="72"/>
<row Владелец="00000000-0000-0000-0000-000000000000" Гуид="C69332E1-F08E-423B-9C26-C577E738AD66" ИмяТаблицыХранения="_InfoRg13566" ИмяТаблицы="РегистрСведений.КонтактнаяИнформация" Метаданные="РегистрСведений.КонтактнаяИнформация" Назначение="Основная" КоличествоСтрок="1433" Резерв="944" Данные="600" Индексы="288" НеИспользуется="56"/>
<row Владелец="00000000-0000-0000-0000-000000000000" Гуид="5F9D743F-712C-4202-82B0-86D85CF5FA0C" ИмяТаблицыХранения="_AccumRgT17129" ИмяТаблицы="" Метаданные="РегистрНакопления.ПартииТоваровНаСкладах" Назначение="Итоги" КоличествоСтрок="20193" Резерв="1168" Данные="520" Индексы="488" НеИспользуется="160"/>
<row Владелец="00000000-0000-0000-0000-000000000000" Гуид="3D101F11-95E0-427F-BC05-B81DE7706BD0" ИмяТаблицыХранения="_AccumRgT16646" ИмяТаблицы="" Метаданные="РегистрНакопления.НДСПартииТоваров" Назначение="Итоги" КоличествоСтрок="13851" Резерв="2544" Данные="512" Индексы="1688" НеИспользуется="344"/>
<row Владелец="00000000-0000-0000-0000-000000000000" Гуид="D9B7BD33-3353-464D-AC4C-5A911F8C62A8" ИмяТаблицыХранения="_InfoRg13244" ИмяТаблицы="РегистрСведений.ГрафикиРаботыПоСменам" Метаданные="РегистрСведений.ГрафикиРаботыПоСменам" Назначение="Основная" КоличествоСтрок="3287" Резерв="664" Данные="336" Индексы="224" НеИспользуется="104"/>
